YEAR,2008,2009,2010,2011,2012
FR-01,0.51,0.17,1.87,45.06,0.85
FR-02,0.37,0.93,2.41,3.34,.
FR-03,8.48,15.78,1.46,11.11,.
FR-04,.,.,1.88,85.21,1.25
FR-05,0.74,0.74,22.15,279.8,1.48
FR-06,2.47,0.55,0.27,22.82,0.64
FR-07,0.64,1.28,25.82,155.6,1.28
FR-08,.,.,0.71,1.77,.
FR-09,.,0.66,46.18,103.6,1.98
FR-10,.,.,5.62,4.63,.
FR-11,2.83,.,.,1.98,0.28
FR-12,.,1.45,23.12,23.12,4.7
FR-13,0.45,0.4,15.31,33.19,0.86
FR-14,1.03,0.15,4.41,7.64,0.29
FR-15,.,2.7,14.84,14.17,0.67
FR-16,.,3.12,6.24,1.7,3.12
FR-17,0.16,12,3.08,5.51,0.32
FR-18,1.6,1.28,8.63,1.6,1.28
FR-19,0.41,0.41,14.37,17.24,0.82
FR-2A,.,5.59,2.1,4.19,.
FR-2B,.,0.61,.,3.05,.
FR-21,0.57,0.96,4.97,4.78,0.19
FR-22,2.73,.,1.71,6.49,1.2
FR-23,.,.,.,0.81,.
FR-24,0.24,2.67,3.89,7.54,0.97
FR-25,.,.,14.28,15.04,0.95
FR-26,0.83,0.41,60.15,89.82,0.21
FR-27,.,0.86,2.93,4.47,0.86
FR-28,4.71,0.71,1.88,7.06,0.24
FR-29,1.79,0.22,3.13,13.76,0.45
FR-30,0.57,0.14,10.99,70.91,0.86
FR-31,0.08,3.48,19.61,24.71,9.8
FR-32,.,0.54,17.69,11.79,6.97
FR-33,0.56,4.11,6.9,10.04,1.67
FR-34,0.29,4.56,7.66,43.35,1.75
FR-35,1.23,1.64,2.35,8.08,2.97
FR-36,.,.,4.75,2.59,1.29
FR-37,0.51,11.73,11.73,6.46,0.34
FR-38,3.42,1.67,18.86,53.4,1.17
FR-39,.,.,26.36,61.12,2.29
FR-40,0.26,9.8,3.18,2.65,0.26
FR-41,0.31,3.66,18.63,4.58,1.22
FR-42,.,1.62,6.33,60.97,0.4
FR-43,1.35,0.45,6.73,144.5,1.79
FR-44,1.89,4.97,16.33,18.14,0.39
FR-45,.,2.91,4.74,4.13,0.76
FR-46,1.73,10.35,62.7,52.92,8.63
FR-47,.,0.61,1.22,22.55,10.36
FR-48,.,.,2.59,57,12.95
FR-49,3.47,1.8,13.22,7.83,0.51
FR-50,0.2,0.4,0.8,2.01,0.2
FR-51,3.54,0.71,0.53,9.02,0.18
FR-52,.,.,1.08,3.24,.
FR-53,0.33,.,2.3,5.25,0.66
FR-54,0.27,0.41,1.09,1.5,0.41
FR-55,.,.,.,3.09,0.51
FR-56,0.7,0.56,3.91,7.96,1.12
FR-57,.,0.1,0.86,2.01,0.38
FR-58,.,0.45,.,5.91,.
FR-59,0.35,0.12,7.06,7.88,1.37
FR-60,.,1.5,10.59,4.86,0.37
FR-61,1.71,1.03,2.06,3.43,2.06
FR-62,0.68,2.05,0.89,3.28,0.21
FR-63,0.79,16.34,2.22,37.43,2.06
FR-64,0.77,2.92,9.82,8.29,1.53
FR-65,0.44,3.49,4.36,13.52,5.67
FR-66,.,0.45,22.21,22.43,6.95
FR-67,0.55,6.84,3.74,13.22,0.55
FR-68,0.4,10.4,6.53,12.54,0.53
FR-69,0.7,2.88,8.28,69.6,1.23
FR-70,1.67,.,2.92,16.29,.
FR-71,.,0.18,3.06,15.86,0.18
FR-72,0.36,1.78,1.78,1.25,.
FR-73,4.61,7.28,20.14,125,3.4
FR-74,4.27,5.1,10.76,151.1,0.69
FR-75,0.27,0.54,6.31,24.05,1.71
FR-76,.,0.96,1.44,2.64,0.56
FR-77,0.61,2.51,5.77,8.66,0.84
FR-78,0.14,0.85,10.57,11.56,1.28
FR-79,7.9,9.53,10.35,6.81,0.27
FR-80,.,.,1.93,1.58,0.53
FR-81,0.53,14.42,15.22,40.85,6.68
FR-82,0.84,1.25,7.94,11.29,3.34
FR-83,0.89,0.1,1.48,28.51,0.99
FR-84,.,4.06,16.78,106.6,0.55
FR-85,8.8,7.84,2.4,8.32,.
FR-86,1.87,3.05,23.66,11.71,0.94
FR-87,0.27,1.6,16.49,3.72,1.06
FR-88,.,2.63,0.53,2.11,.
FR-89,0.58,0.29,0.29,4.95,.
FR-90,.,0.7,4.22,17.57,0.7
FR-91,0.16,1.24,7.09,9.82,0.74
FR-92,0.38,0.96,5.32,11.66,0.9
FR-93,0.33,2.24,5.2,17.58,0.72
FR-94,0.38,1.36,4.93,15.46,1.06
FR-95,.,1.54,4.44,12.55,0.85
