id,value
FR-01,45.06
FR-02,3.34
FR-03,11.11
FR-04,85.21
FR-05,279.8
FR-06,22.82
FR-07,155.6
FR-08,1.77
FR-09,103.6
FR-10,4.63
FR-11,1.98
FR-12,23.12
FR-13,33.19
FR-14,7.64
FR-15,14.17
FR-16,1.7
FR-17,5.51
FR-18,1.6
FR-19,17.24
FR-2A,4.19
FR-2B,3.05
FR-21,4.78
FR-22,6.49
FR-23,0.81
FR-24,7.54
FR-25,15.04
FR-26,89.82
FR-27,4.47
FR-28,7.06
FR-29,13.76
FR-30,70.91
FR-31,24.71
FR-32,11.79
FR-33,10.04
FR-34,43.35
FR-35,8.08
FR-36,2.59
FR-37,6.46
FR-38,53.4
FR-39,61.12
FR-40,2.65
FR-41,4.58
FR-42,60.97
FR-43,144.5
FR-44,18.14
FR-45,4.13
FR-46,52.92
FR-47,22.55
FR-48,57
FR-49,7.83
FR-50,2.01
FR-51,9.02
FR-52,3.24
FR-53,5.25
FR-54,1.5
FR-55,3.09
FR-56,7.96
FR-57,2.01
FR-58,5.91
FR-59,7.88
FR-60,4.86
FR-61,3.43
FR-62,3.28
FR-63,37.43
FR-64,8.29
FR-65,13.52
FR-66,22.43
FR-67,13.22
FR-68,12.54
FR-69,69.6
FR-70,16.29
FR-71,15.86
FR-72,1.25
FR-73,125
FR-74,151.1
FR-75,24.05
FR-76,2.64
FR-77,8.66
FR-78,11.56
FR-79,6.81
FR-80,1.58
FR-81,40.85
FR-82,11.29
FR-83,28.51
FR-84,106.6
FR-85,8.32
FR-86,11.71
FR-87,3.72
FR-88,2.11
FR-89,4.95
FR-90,17.57
FR-91,9.82
FR-92,11.66
FR-93,17.58
FR-94,15.46
FR-95,12.55
