Id_bureau;Inscrits;Abstentions;Votants;Blancs et nuls;% BlNuls/Vot;Exprimés;% Exp/Vot;Voix_Antonini;Voix/Exp_Antonini;Voix_Bechu;Voix/Exp_Bechu;POP1564;CS1;CS2;CS3;CS4;CS5;CS6
49007101;1198;0.434056761;0.565943239;0.015859766;0.028023599;659;0.971976401;0.249582638;0.453717754;0.300500835;0.546282246;1730;0;0.012138728;0.08265896;0.113872832;0.10867052;0.061849711
49007102;1112;0.351618705;0.648381295;0.01618705;0.024965326;703;0.975034674;0.295863309;0.46799431;0.336330935;0.53200569;2948;0;0.015603799;0.12890095;0.168928087;0.118385346;0.06275441
49007103;1148;0.389372822;0.610627178;0.014808362;0.02425107;684;0.97574893;0.31271777;0.524853801;0.283101045;0.475146199;1797;0;0.009460211;0.098497496;0.137451308;0.119087368;0.068447412
49007104;867;0.333333333;0.666666667;0.006920415;0.010380623;572;0.989619377;0.393310265;0.596153846;0.266435986;0.403846154;541;0;0.022181146;0.112754159;0.168207024;0.14232902;0.075785582
49007105;1015;0.403940887;0.596059113;0.012807882;0.021487603;592;0.978512397;0.380295567;0.652027027;0.202955665;0.347972973;1264;0;0.008702532;0.013449367;0.051424051;0.15664557;0.173259494
49007106;892;0.430493274;0.569506726;0.015695067;0.027559055;494;0.972440945;0.353139013;0.637651822;0.200672646;0.362348178;840;0;0.016666667;0.041666667;0.119047619;0.155952381;0.163095238
49007107;1080;0.439814815;0.560185185;0.012037037;0.021487603;592;0.978512397;0.360185185;0.657094595;0.187962963;0.342905405;1439;0.000694927;0.01181376;0.013898541;0.049339819;0.10771369;0.14523975
49007108;1147;0.326068003;0.673931997;0.02005231;0.029754204;750;0.970245796;0.346992153;0.530666667;0.306887533;0.469333333;2502;0;0.017186251;0.029976019;0.091127098;0.132693845;0.151079137
49007109;968;0.47107438;0.52892562;0.012396694;0.0234375;500;0.9765625;0.330578512;0.64;0.185950413;0.36;1436;0;0.005571031;0.012534819;0.049442897;0.141364903;0.178969359
49007110;1365;0.392673993;0.607326007;0.020512821;0.033775633;801;0.966224367;0.332600733;0.566791511;0.254212454;0.433208489;2228;0;0.009874327;0.107719928;0.143626571;0.118491921;0.067324955
49007201;1222;0.346972177;0.653027823;0.020458265;0.031328321;773;0.968671679;0.225040917;0.355756792;0.407528642;0.644243208;1310;0;0.03129771;0.091603053;0.106870229;0.129770992;0.083206107
49007202;1142;0.369527145;0.630472855;0.023642732;0.0375;693;0.9625;0.267950963;0.441558442;0.338879159;0.558441558;2090;0.000478469;0.031100478;0.092344498;0.114354067;0.131100478;0.089473684
49007203;997;0.390170512;0.609829488;0.009027081;0.014802632;599;0.985197368;0.320962889;0.534223706;0.279839519;0.465776294;1331;0;0.018031555;0.057099925;0.136739294;0.175056349;0.154770849
49007204;1208;0.360927152;0.639072848;0.014072848;0.022020725;755;0.977979275;0.302152318;0.483443709;0.322847682;0.516556291;2314;0;0.025064823;0.065687122;0.127917027;0.130509939;0.100691443
49007205;988;0.382591093;0.617408907;0.022267206;0.036065574;588;0.963934426;0.328947368;0.552721088;0.266194332;0.447278912;747;0;0.016064257;0.045515395;0.131191432;0.18875502;0.174029451
49007206;862;0.466357309;0.533642691;0.019721578;0.036956522;443;0.963043478;0.287703016;0.559819413;0.226218097;0.440180587;1124;0;0.024911032;0.054270463;0.110320285;0.162811388;0.134341637
49007207;1160;0.380172414;0.619827586;0.013793103;0.022253129;703;0.977746871;0.346551724;0.571834993;0.259482759;0.428165007;1678;0;0.023837902;0.048271752;0.099523242;0.156734207;0.13170441
49007208;1353;0.373244642;0.626755358;0.014781966;0.023584906;828;0.976415094;0.319290466;0.52173913;0.292682927;0.47826087;1437;0;0.041753653;0.050800278;0.133611691;0.180932498;0.133611691
49007209;1124;0.327402135;0.672597865;0.016903915;0.025132275;737;0.974867725;0.331850534;0.506105834;0.323843416;0.493894166;1393;0;0.022254128;0.114142139;0.168700646;0.141421393;0.073941134
49007210;906;0.380794702;0.619205298;0.033112583;0.053475936;531;0.946524064;0.312362031;0.532956685;0.273730684;0.467043315;1460;0;0.011643836;0.025342466;0.078767123;0.176712329;0.173972603
49007301;1445;0.447058824;0.552941176;0.011764706;0.021276596;782;0.978723404;0.287197232;0.530690537;0.253979239;0.469309463;3858;0;0.010108865;0.078278901;0.093312597;0.109901503;0.041472265
49007302;1029;0.400388727;0.599611273;0.01068999;0.017828201;606;0.982171799;0.198250729;0.336633663;0.390670554;0.663366337;2601;0;0.020376778;0.093425606;0.104190696;0.114955786;0.041906959
49007303;1138;0.388400703;0.611599297;0.010544815;0.017241379;684;0.982758621;0.239894552;0.399122807;0.36115993;0.600877193;3123;0;0.015049632;0.089977586;0.091258405;0.100224143;0.034261928
49007304;859;0.321303842;0.678696158;0.016298021;0.024013722;569;0.975986278;0.18975553;0.286467487;0.472642608;0.713532513;1594;0;0.021329987;0.105395232;0.092848181;0.093475533;0.029485571
49007305;1171;0.344150299;0.655849701;0.00853971;0.013020833;758;0.986979167;0.274978651;0.424802111;0.372331341;0.575197889;2943;0.000339789;0.012232416;0.071695549;0.091743119;0.095820591;0.068637445
49007306;1002;0.327345309;0.672654691;0.011976048;0.017804154;662;0.982195846;0.274451098;0.415407855;0.386227545;0.584592145;2364;0;0.015228426;0.085025381;0.10786802;0.101522843;0.032994924
49007307;1053;0.32288699;0.67711301;0.006647673;0.009817672;706;0.990182328;0.157644824;0.235127479;0.512820513;0.764872521;1617;0;0.017934447;0.086580087;0.075448361;0.071119357;0.031539889
49007308;937;0.27321238;0.72678762;0.010672359;0.014684288;671;0.985315712;0.195304162;0.272727273;0.520811099;0.727272727;1675;0.00119403;0.031641791;0.155820896;0.094925373;0.065671642;0.035820896
49007309;1152;0.348090278;0.651909722;0.005208333;0.007989348;745;0.992010652;0.224826389;0.347651007;0.421875;0.652348993;1810;0.001657459;0.015469613;0.108839779;0.151381215;0.1;0.045856354
49007310;1140;0.315789474;0.684210526;0.006140351;0.008974359;773;0.991025641;0.229824561;0.338939198;0.448245614;0.661060802;2667;0;0.0119985;0.131983502;0.120359955;0.06824147;0.028121485
49007311;1209;0.346567411;0.653432589;0.010752688;0.016455696;777;0.983544304;0.314309347;0.489060489;0.328370554;0.510939511;1033;0.000968054;0.015488867;0.115198451;0.151984511;0.095837367;0.044530494
49007312;1221;0.251433251;0.748566749;0.013104013;0.01750547;898;0.98249453;0.316134316;0.429844098;0.419328419;0.570155902;1815;0.000550964;0.014325069;0.139944904;0.142699725;0.082644628;0.044628099
49007313;1032;0.394379845;0.605620155;0.006782946;0.0112;618;0.9888;0.340116279;0.567961165;0.25872093;0.432038835;1074;0;0.010242086;0.068901304;0.129422719;0.140595903;0.106145251
49007314;969;0.311661507;0.688338493;0.007223942;0.010494753;660;0.989505247;0.303405573;0.445454545;0.377708978;0.554545455;1560;0.000641026;0.014102564;0.114102564;0.108333333;0.069871795;0.029487179
49007315;1063;0.288805268;0.711194732;0.00752587;0.010582011;748;0.989417989;0.275634995;0.39171123;0.428033866;0.60828877;1999;0.00150075;0.019509755;0.092046023;0.141070535;0.100050025;0.056028014
49007316;1170;0.335042735;0.664957265;0.013675214;0.020565553;762;0.979434447;0.27008547;0.414698163;0.381196581;0.585301837;1637;0.000610874;0.012217471;0.12217471;0.106902871;0.069639585;0.02748931
49007317;890;0.36741573;0.63258427;0.01011236;0.01598579;554;0.98401421;0.347191011;0.557761733;0.275280899;0.442238267;1091;0.001833181;0.016498625;0.123739688;0.153070577;0.123739688;0.069660862
49007318;1168;0.341609589;0.658390411;0.011130137;0.016905072;756;0.983094928;0.259417808;0.400793651;0.387842466;0.599206349;1349;0.002965159;0.014825797;0.119347665;0.154188288;0.112676056;0.057820608
49007319;961;0.288241415;0.711758585;0.006243496;0.00877193;678;0.99122807;0.192507804;0.272861357;0.513007284;0.727138643;1691;0.001182732;0.030159669;0.156120639;0.093435837;0.059136606;0.028976937
49007401;938;0.270788913;0.729211087;0.017057569;0.023391813;668;0.976608187;0.347547974;0.488023952;0.364605544;0.511976048;1177;0.000849618;0.026338148;0.096006797;0.135938828;0.135938828;0.101104503
49007402;1194;0.412060302;0.587939698;0.015075377;0.025641026;684;0.974358974;0.308207705;0.538011696;0.264656616;0.461988304;1836;0.001633987;0.020152505;0.109477124;0.14379085;0.125272331;0.080065359
49007403;805;0.332919255;0.667080745;0.01242236;0.018621974;527;0.981378026;0.347826087;0.531309298;0.306832298;0.468690702;662;0.001510574;0.016616314;0.077039275;0.120845921;0.151057402;0.125377644
49007404;1352;0.398668639;0.601331361;0.00887574;0.014760148;801;0.985239852;0.332100592;0.560549313;0.26035503;0.439450687;1919;0.000521105;0.016154247;0.085982282;0.127670662;0.166232413;0.122459614
49007405;1267;0.362273086;0.637726914;0.012628256;0.01980198;792;0.98019802;0.370955012;0.593434343;0.254143646;0.406565657;1518;0;0.013175231;0.070487484;0.163372859;0.174571805;0.116600791
49007406;1237;0.35327405;0.64672595;0.016168149;0.025;780;0.975;0.375909458;0.596153846;0.254648343;0.403846154;1576;0.000634518;0.013959391;0.093274112;0.140228426;0.182741117;0.116751269
49007407;912;0.319078947;0.680921053;0.007675439;0.011272142;614;0.988727858;0.342105263;0.508143322;0.331140351;0.491856678;1494;0.001338688;0.022088353;0.087014726;0.12583668;0.141231593;0.113119143
49007501;1289;0.359193173;0.640806827;0.011636928;0.018159806;811;0.981840194;0.318076028;0.505548705;0.311093871;0.494451295;2195;0.000911162;0.018678815;0.12118451;0.16856492;0.11571754;0.055580866
49007502;1277;0.313234143;0.686765857;0.014878622;0.021664766;858;0.978335234;0.307752545;0.458041958;0.364134691;0.541958042;2043;0;0.018110622;0.091042584;0.139011258;0.164464023;0.07195301
