Id_bureau;INS07T1;ABS07T1;VOT07T1;BLC07T1;EXP07T1;EXP07T1_nb;ROY07T1;SAR07T1;INS07T2;ABS07T2;VOT07T2;BLC07T2;EXP07T2;EXP07T2_nb;ROY07T2;SAR07T2
49007_101;1202;0.179700499;0.820299501;0.010815308;0.809484193;973;0.208633094;0.039054471;1199;0.203502919;0.796497081;0.025020851;0.77147623;925;0.471351351;0.528648649
49007_102;1107;0.130984643;0.869015357;0.009033424;0.859981933;952;0.259453782;0.029411765;1107;0.139114724;0.860885276;0.038843722;0.822041554;910;0.49010989;0.50989011
49007_103;1096;0.142335766;0.857664234;0.012773723;0.844890511;926;0.241900648;0.05075594;1096;0.153284672;0.846715328;0.038321168;0.808394161;886;0.554176072;0.445823928
49007_104;858;0.143356643;0.856643357;0.006993007;0.84965035;729;0.255144033;0.034293553;858;0.152680653;0.847319347;0.031468531;0.815850816;700;0.59;0.41
49007_105;1049;0.18207817;0.81792183;0.0085796;0.809342231;849;0.167255595;0.069493522;1049;0.193517636;0.806482364;0.030505243;0.775977121;814;0.628992629;0.371007371
49007_106;886;0.161399549;0.838600451;0.015801354;0.822799097;729;0.170096022;0.091906722;886;0.181715576;0.818284424;0.03724605;0.781038375;692;0.62283237;0.37716763
49007_107;1072;0.208022388;0.791977612;0.010261194;0.781716418;838;0.150357995;0.059665871;1072;0.213619403;0.786380597;0.016791045;0.769589552;825;0.614545455;0.385454545
49007_108;1122;0.140819964;0.859180036;0.016934046;0.842245989;945;0.215873016;0.051851852;1122;0.151515152;0.848484848;0.032976827;0.815508021;915;0.53442623;0.46557377
49007_109;957;0.231974922;0.768025078;0.006269592;0.761755486;729;0.167352538;0.063100137;957;0.237199582;0.762800418;0.024033438;0.73876698;707;0.629420085;0.370579915
49007_110;1339;0.144884242;0.855115758;0.00746826;0.847647498;1135;0.243171806;0.045814978;1339;0.144137416;0.855862584;0.031366692;0.824495892;1104;0.569746377;0.430253623
49007_201;1231;0.152721365;0.847278635;0.011372868;0.835905768;1029;0.232264334;0.029154519;1231;0.161657189;0.838342811;0.038180341;0.80016247;985;0.375634518;0.624365482
49007_202;1143;0.168853893;0.831146107;0.011373578;0.819772528;937;0.239060832;0.038420491;1143;0.171478565;0.828521435;0.041994751;0.786526684;899;0.501668521;0.498331479
49007_203;996;0.147590361;0.852409639;0.004016064;0.848393574;845;0.244970414;0.04260355;996;0.161646586;0.838353414;0.035140562;0.803212851;800;0.5;0.5
49007_204;1235;0.140890688;0.859109312;0.012145749;0.846963563;1046;0.217017208;0.031548757;1235;0.15708502;0.84291498;0.032388664;0.810526316;1001;0.538461538;0.461538462
49007_205;993;0.149043303;0.850956697;0.020140987;0.83081571;825;0.20969697;0.04969697;993;0.163141994;0.836858006;0.04632427;0.790533736;785;0.515923567;0.484076433
