Id_bureau;Inscrits;Abstentions;Votants;Blancs et nuls;Exprimes;Exprimes_nb;HOLLANDE;SARKOZY;Inscrits Tour2;AbstentionsTour2;VotantsTour2;Blancs et nulsTour2;ExprimesTour2;ExprimesTour2_nb;SARKOZYTour2;HOLLANDETour2
49007101;1107;0.260162602;0.739837398;0.009033424;0.730803975;809;0.331273177;0.334981459;1107;0.257452575;0.742547425;0.03432701;0.708220416;784;0.477040816;0.522959184
49007102;1153;0.179531657;0.820468343;0.010407632;0.810060711;934;0.317987152;0.32869379;1156;0.17733564;0.82266436;0.027681661;0.794982699;919;0.474428727;0.525571273
49007103;1190;0.212605042;0.787394958;0.011764706;0.775630252;923;0.34127844;0.261105092;1191;0.211586902;0.788413098;0.026868178;0.76154492;907;0.41014333;0.58985667
49007104;1023;0.191593353;0.808406647;0.023460411;0.784946237;803;0.354919054;0.234122042;1025;0.197073171;0.802926829;0.047804878;0.755121951;774;0.378552972;0.621447028
49007105;967;0.292657704;0.707342296;0.01344364;0.693898656;671;0.415797317;0.144560358;967;0.283350569;0.716649431;0.02688728;0.689762151;667;0.257871064;0.742128936
49007106;804;0.269900498;0.730099502;0.017412935;0.712686567;573;0.34904014;0.190226876;805;0.293167702;0.706832298;0.032298137;0.674534161;543;0.355432781;0.644567219
49007107;1063;0.287864534;0.712135466;0.010348071;0.701787394;746;0.368632708;0.215817694;1063;0.268109125;0.731890875;0.03480715;0.697083725;741;0.353576248;0.646423752
49007108;1139;0.194907814;0.805092186;0.017559263;0.787532924;897;0.363433668;0.266443701;1139;0.183494293;0.816505707;0.050921861;0.765583845;872;0.424311927;0.575688073
49007109;1041;0.321805956;0.678194044;0.018251681;0.659942363;687;0.414847162;0.165938865;1041;0.317002882;0.682997118;0.036503362;0.646493756;673;0.313521545;0.686478455
49007110;1218;0.189655172;0.810344828;0.016420361;0.793924466;967;0.366080662;0.207859359;1218;0.203612479;0.796387521;0.033661741;0.76272578;929;0.346609257;0.653390743
49007201;1150;0.209565217;0.790434783;0.007826087;0.782608696;900;0.255555556;0.405555556;1150;0.197391304;0.802608696;0.033043478;0.769565217;885;0.593220339;0.406779661
49007202;1164;0.201030928;0.798969072;0.018041237;0.780927835;909;0.337733773;0.273927393;1164;0.195876289;0.804123711;0.054123711;0.75;873;0.441008018;0.558991982
49007203;929;0.196986006;0.803013994;0.013993541;0.789020452;733;0.342428377;0.24420191;931;0.216970999;0.783029001;0.042964554;0.740064447;689;0.425253991;0.574746009
49007204;1173;0.166240409;0.833759591;0.017050298;0.816709292;958;0.340292276;0.253653445;1173;0.192668372;0.807331628;0.038363171;0.768968457;902;0.424611973;0.575388027
49007205;981;0.214067278;0.785932722;0.017329256;0.768603466;754;0.335543767;0.225464191;981;0.212028542;0.787971458;0.054026504;0.733944954;720;0.395833333;0.604166667
49007206;955;0.270157068;0.729842932;0.013612565;0.716230366;684;0.415204678;0.195906433;957;0.262277952;0.737722048;0.031347962;0.706374086;676;0.331360947;0.668639053
49007207;1158;0.211571675;0.788428325;0.015544041;0.772884283;895;0.335195531;0.222346369;1159;0.209663503;0.790336497;0.037963762;0.752372735;872;0.401376147;0.598623853
49007208;1386;0.18975469;0.81024531;0.012265512;0.797979798;1106;0.323688969;0.241410488;1386;0.183982684;0.816017316;0.046897547;0.769119769;1066;0.432457786;0.567542214
49007209;1250;0.1392;0.8608;0.0232;0.8376;1047;0.358166189;0.249283668;1251;0.131894484;0.868105516;0.036770584;0.831334932;1040;0.385576923;0.614423077
49007210;1042;0.184261036;0.815738964;0.010556622;0.805182342;839;0.3170441;0.270560191;1042;0.197696737;0.802303263;0.047984645;0.754318618;786;0.450381679;0.549618321
49007301;1017;0.223205506;0.776794494;0.008849558;0.767944936;781;0.343149808;0.235595391;1017;0.226155359;0.773844641;0.033431662;0.740412979;753;0.37184595;0.62815405
49007302;974;0.238193018;0.761806982;0.009240246;0.752566735;733;0.274215553;0.361527967;974;0.23100616;0.76899384;0.028747433;0.740246407;721;0.52704577;0.47295423
49007303;1114;0.249551167;0.750448833;0.008976661;0.741472172;826;0.328087167;0.234866828;1115;0.256502242;0.743497758;0.040358744;0.703139013;784;0.375;0.625
49007304;1116;0.188172043;0.811827957;0.021505376;0.790322581;882;0.25170068;0.418367347;1116;0.177419355;0.822580645;0.039426523;0.783154122;874;0.577803204;0.422196796
49007305;1168;0.177226027;0.822773973;0.014554795;0.808219178;944;0.305084746;0.345338983;1168;0.175513699;0.824486301;0.040239726;0.784246575;916;0.507641921;0.492358079
49007306;932;0.186695279;0.813304721;0.005364807;0.807939914;753;0.306772908;0.335989376;932;0.169527897;0.830472103;0.027896996;0.802575107;748;0.486631016;0.513368984
49007307;1034;0.16827853;0.83172147;0.008704062;0.823017408;851;0.196239718;0.505287897;1034;0.174081238;0.825918762;0.030947776;0.794970986;822;0.658150852;0.341849148
49007308;910;0.126373626;0.873626374;0.007692308;0.865934066;788;0.241116751;0.444162437;911;0.117453348;0.882546652;0.03183315;0.850713502;775;0.606451613;0.393548387
49007309;1240;0.195967742;0.804032258;0.012096774;0.791935484;982;0.271894094;0.364562118;1241;0.195004029;0.804995971;0.030620467;0.774375504;961;0.528616025;0.471383975
49007310;1100;0.160909091;0.839090909;0.010909091;0.828181818;911;0.249176729;0.419319429;1102;0.146098004;0.853901996;0.041742287;0.81215971;895;0.6;0.4
49007311;1092;0.181318681;0.818681319;0.007326007;0.811355311;886;0.313769752;0.30248307;1092;0.172161172;0.827838828;0.036630037;0.791208791;864;0.461805556;0.538194444
49007312;1218;0.123973727;0.876026273;0.007389163;0.86863711;1058;0.278827977;0.345935728;1218;0.141215107;0.858784893;0.02545156;0.833333333;1015;0.521182266;0.478817734
49007313;983;0.224821974;0.775178026;0.017293998;0.757884028;745;0.413422819;0.237583893;983;0.226856562;0.773143438;0.029501526;0.743641913;731;0.388508892;0.611491108
49007314;907;0.167585447;0.832414553;0.006615215;0.825799338;749;0.328437917;0.375166889;908;0.154185022;0.845814978;0.026431718;0.81938326;744;0.518817204;0.481182796
49007315;1012;0.158102767;0.841897233;0.010869565;0.831027668;841;0.252080856;0.366230678;1013;0.156959526;0.843040474;0.041461007;0.801579467;812;0.560344828;0.439655172
